NAME,CITY,STATE,ZIP,LAT,LON,CBSA,NMCBSA
Marymount Manhattan College,New York,NY,10021-4597,40.768787,-73.959767,35620,"New York-Newark-Jersey City, NY-NJ-PA"
Medaille College,Buffalo,NY,14214-2695,42.92856,-78.855941,15380,"Buffalo-Cheektowaga, NY"
St. Peter's Hospital College of Nursing,Albany,NY,12208,42.658346,-73.807616,10580,"Albany-Schenectady-Troy, NY"
Memorial Hospital School of Radiation Therapy Technology,New York,NY,10065-6007,40.764128,-73.956143,35620,"New York-Newark-Jersey City, NY-NJ-PA"
Modern Welding School,Schenectady,NY,12304,42.779193,-73.903157,10580,"Albany-Schenectady-Troy, NY"
Mohawk Valley Community College,Utica,NY,13501-5394,43.076765,-75.219367,46540,"Utica-Rome, NY"
Otsego Area BOCES-Practical Nursing Program,Oneonta,NY,13820-1142,42.58915,-74.922225,36580,"Oneonta, NY"
Pace University,New York,NY,10038-1598,40.711014,-74.004719,35620,"New York-Newark-Jersey City, NY-NJ-PA"
Paul Smiths College of Arts and Science,Paul Smiths,NY,12970-0265,44.433965,-74.252675,31660,"Malone, NY"
Continental School of Beauty Culture-West Seneca,West Seneca,NY,14224,42.828416,-78.754584,15380,"Buffalo-Cheektowaga, NY"
Plaza College,Forest Hills,NY,11375,40.714894,-73.831156,35620,"New York-Newark-Jersey City, NY-NJ-PA"
Davis College,Johnson City,NY,13790-2700,42.10601,-75.967044,13780,"Binghamton, NY"
Pratt Institute-Main,Brooklyn,NY,11205,40.691297,-73.96431,35620,"New York-Newark-Jersey City, NY-NJ-PA"
Pratt Manhattan-A Division of Pratt Institute,New York,NY,10011,40.737947,-73.998857,35620,"New York-Newark-Jersey City, NY-NJ-PA"
Rabbinical Academy Mesivta Rabbi Chaim Berlin,Brooklyn,NY,11230,40.618467,-73.963702,35620,"New York-Newark-Jersey City, NY-NJ-PA"
Rensselaer Polytechnic Institute,Troy,NY,12180-3590,42.729978,-73.676646,10580,"Albany-Schenectady-Troy, NY"
Roberts Wesleyan College,Rochester,NY,14624,43.125755,-77.798498,40380,"Rochester, NY"
Rochester Institute of Technology,Rochester,NY,14623-5603,43.084188,-77.67386,40380,"Rochester, NY"
University of Rochester,Rochester,NY,14627-0011,43.126397,-77.631202,40380,"Rochester, NY"
Rockefeller University,New York,NY,10065-6399,40.762489,-73.955198,35620,"New York-Newark-Jersey City, NY-NJ-PA"
Rockland Community College,Suffern,NY,10901-3699,41.133929,-74.085969,35620,"New York-Newark-Jersey City, NY-NJ-PA"
Empire Beauty School-Manhattan,New York,NY,10001,40.748938,-73.986453,35620,"New York-Newark-Jersey City, NY-NJ-PA"
St. Joseph's College of Nursing,Syracuse,NY,13203,43.055355,-76.148355,45060,"Syracuse, NY"
St Lawrence University,Canton,NY,13617,44.589879,-75.161343,36300,"Ogdensburg-Massena, NY"
The College of Saint Rose,Albany,NY,12203-1490,42.664297,-73.786661,10580,"Albany-Schenectady-Troy, NY"
St. Thomas Aquinas College,Sparkill,NY,10976-1050,41.041576,-73.936799,35620,"New York-Newark-Jersey City, NY-NJ-PA"
Samaritan Hospital School of Nursing,Troy,NY,12065,42.742861,-73.676151,10580,"Albany-Schenectady-Troy, NY"
Sarah Lawrence College,Bronxville,NY,10708,40.9355,-73.843727,35620,"New York-Newark-Jersey City, NY-NJ-PA"
Schenectady County Community College,Schenectady,NY,12305,42.814412,-73.950008,10580,"Albany-Schenectady-Troy, NY"
Sh'or Yoshuv Rabbinical College,Lawrence,NY,11559-1714,40.605227,-73.740085,35620,"New York-Newark-Jersey City, NY-NJ-PA"
Siena College,Loudonville,NY,12211-1462,42.717602,-73.7526,10580,"Albany-Schenectady-Troy, NY"
Skidmore College,Saratoga Springs,NY,12866,43.097035,-73.785335,10580,"Albany-Schenectady-Troy, NY"
St. Joseph's College-New York,Brooklyn,NY,11205-3688,40.690418,-73.967664,35620,"New York-Newark-Jersey City, NY-NJ-PA"
SUNY College at Plattsburgh,Plattsburgh,NY,12901-2681,44.69293,-73.466536,38460,"Plattsburgh, NY"
SUNY Downstate Health Sciences University,Brooklyn,NY,11203-2098,40.653855,-73.945535,35620,"New York-Newark-Jersey City, NY-NJ-PA"
SUNY Empire State College,Saratoga Springs,NY,12866-4391,43.077283,-73.782484,10580,"Albany-Schenectady-Troy, NY"
SUNY Maritime College,Throggs Neck,NY,10465-4198,40.807217,-73.795309,35620,"New York-Newark-Jersey City, NY-NJ-PA"
Upstate Medical University,Syracuse,NY,13210,43.041819,-76.140009,45060,"Syracuse, NY"
Swedish Institute a College of Health Sciences,New York,NY,10001-6700,40.746384,-73.99567,35620,"New York-Newark-Jersey City, NY-NJ-PA"
Syracuse University,Syracuse,NY,13244,43.040176,-76.136975,45060,"Syracuse, NY"
Union College,Schenectady,NY,12308-2311,42.818097,-73.928788,10580,"Albany-Schenectady-Troy, NY"
